S No,Venue,Venue Code,City,State,State Code,Name of Course Coordinator
1,Kendriya Vidyalaya No. 2,IAP-CPR-Day/Venue/AN-101,Andaman & Nikobar Island,Andaman & Nikobar Island,AN,Dr Prof Bal Mukund
2,Navy Children School,IAP-CPR-Day/Venue/AN-102,Andaman & Nikobar Island,Andaman & Nikobar Island,AN,Dr Prof Bal Mukund
3,"ACSR Government Medical College, Nellore",IAP-CPR-Day/Venue/AP-101,Nellore,Andhra Pradesh,AP,Dr A S Kireeti
4,"Department of Pediatrics, ACSR Government Medical College, Nellore",IAP-CPR-Day/Venue/AP-102,Nellore,Andhra Pradesh,AP,Dr A S Kireeti
5,Sri Balaji Medical College Hospital and Research Institute,IAP-CPR-Day/Venue/AP-103,Renigunta,Andhra Pradesh,AP,Dr Manu M A
6,"Sri Venkateswara Ayurvedic College, Tirupati",IAP-CPR-Day/Venue/AP-104,Tirupath,Andhra Pradesh,AP,Dr G Jayasri; Dr Sri Sindhura Yanna
7,"Andhra Pradesh Southern Power Distribution Company Limited (APSPDCL), Mangalam Road, Tirupati",IAP-CPR-Day/Venue/AP-105,Tirupati,Andhra Pradesh,AP,Dr V Hemavathi
8,"BGS Vijnatham School, Renigunta",IAP-CPR-Day/Venue/AP-106,Tirupati,Andhra Pradesh,AP,Dr Manu M A
9,Chaithanya Bharathi School,IAP-CPR-Day/Venue/AP-107,Tirupati,Andhra Pradesh,AP,Dr R S Dhanasekhar; Dr V Padmaja Rani
10,"Department of Pediatrics, Sri Venkateswara Medical College, Tirupati",IAP-CPR-Day/Venue/AP-108,Tirupati,Andhra Pradesh,AP,Dr V S Anjan Kumar; Dr D Nagaramani; Dr R Manasa; Dr K Sukanya; Dr D Naga Ramani
11,"District Court, Tirupati",IAP-CPR-Day/Venue/AP-109,Tirupati,Andhra Pradesh,AP,Dr P Prasad Reddy
12,Giffard Memorial Hospital,IAP-CPR-Day/Venue/AP-110,Tirupati,Andhra Pradesh,AP,Dr V Padmaja Rani; Dr Y Pradeep; Dr Ch Maruthi Aruna
13,"Government Maternity Hospital, Tirupati",IAP-CPR-Day/Venue/AP-111,Tirupati,Andhra Pradesh,AP,Dr Ch Maruthi Aruna; Dr V Padmaja Rani; Dr Y Pradeep
14,"Mahathi Auditorium, Tirupati",IAP-CPR-Day/Venue/AP-112,Tirupati,Andhra Pradesh,AP,Dr M Gee Tha
15,Maternal and Child Health Hospital,IAP-CPR-Day/Venue/AP-113,Tirupati,Andhra Pradesh,AP,Dr V Padmaja Rani; Dr R S Dhanasekhar
16,"Maternal and Child Health Services, Thambuvani Gunta, Tirupati",IAP-CPR-Day/Venue/AP-114,Tirupati,Andhra Pradesh,AP,Dr V Hemavathi
17,"Narayana English Medium High School, Tirupati",IAP-CPR-Day/Venue/AP-115,Tirupati,Andhra Pradesh,AP,Dr V Hemavathi
18,"S.K.R.S. English Medium High School, Ttd, Tirupati",IAP-CPR-Day/Venue/AP-116,Tirupati,Andhra Pradesh,AP,Dr Megavath Mallikarjuna; Dr A Sailaja; Dr Sri Sindhura Yanna; Dr B Manohar
19,"Spjn Municipal Corporation High School, Tirupati",IAP-CPR-Day/Venue/AP-117,Tirupati,Andhra Pradesh,AP,Dr V Hemavthi
20,"Sri Padmavathamma Government College of Nursing, Tirupati",IAP-CPR-Day/Venue/AP-118,Tirupati,Andhra Pradesh,AP,Dr A S Kireeti; Dr V Spandana
21,"Sridevi Complex, Tirupati",IAP-CPR-Day/Venue/AP-119,Tirupati,Andhra Pradesh,AP,Dr A S Kireeti; Dr V Spandana; Dr R S Dhanasekhar
22,"Siddhartha Medical College, Vijayawada",IAP-CPR-Day/Venue/AP-120,Vijayayawada,Andhra Pradesh,AP,Dr Songa Vinaya Kumar
23,"Assam Medical College and Hospital, Dibrugarh",IAP-CPR-Day/Venue/AS-101,Dibrugarh,Assam,AS,Suman Dey
24,"Akanksha Hospital, Guwahati",IAP-CPR-Day/Venue/AS-102,Guwahati,Assam,AS,Dr Bhabesh Doley
25,Nemcare Super Speciality Hospital,IAP-CPR-Day/Venue/AS-103,Guwahati,Assam,AS,Dr Bhabesh Doley
