S No,Venue,Venue Code,City,State,State Code,Name of Course Coordinator
1,KENDRIYA VIDYALAYA NO. 2,IAP-CPR-Day/Venue/AN-101,Andaman & Nikobar Island,Andaman & Nikobar Island,AN,Dr Prof Bal Mukund
2,NAVY CHILDREN SCHOOL,IAP-CPR-Day/Venue/AN-102,Andaman & Nikobar Island,Andaman & Nikobar Island,AN,Dr Prof Bal Mukund
3,ACSR GOVERNMENT MEDICAL COLLEGE,IAP-CPR-Day/Venue/AP-101,Nellore,Andhra Pradesh,AP,Dr A S Kireeti
4,"DEPARTMENT OF PEDIATRICS, ACSR GOVERNMENT MEDICAL COLLEGE",IAP-CPR-Day/Venue/AP-102,Nellore,Andhra Pradesh,AP,Dr A S Kireeti
5,SRI BALAJI MEDICAL COLLEGE HOSPITAL AND RESEARCH INSTITUTE,IAP-CPR-Day/Venue/AP-103,Renigunta,Andhra Pradesh,AP,Dr Manu M A
6,SRI VENKATESWARA AYURVEDIC COLLEGE,IAP-CPR-Day/Venue/AP-104,Tirupati,Andhra Pradesh,AP,Dr G Jayasri; Dr Sri Sindhura Yanna
7,"ANDHRA PRADESH SOUTHERN POWER DISTRIBUTION COMPANY LIMITED, MANGALAM ROAD",IAP-CPR-Day/Venue/AP-105,Tirupati,Andhra Pradesh,AP,Dr V Hemavathi
8,"BGS VIJNATHAM SCHOOL, RENIGUNTA",IAP-CPR-Day/Venue/AP-106,Tirupati,Andhra Pradesh,AP,Dr Manu M A
9,CHAITHANYA BHARATHI SCHOOL,IAP-CPR-Day/Venue/AP-107,Tirupati,Andhra Pradesh,AP,Dr R S Dhanasekhar; Dr V Padmaja Rani
10,"DEPARTMENT OF PEDIATRICS, SRI VENKATESWARA MEDICAL COLLEGE",IAP-CPR-Day/Venue/AP-108,Tirupati,Andhra Pradesh,AP,Dr V S Anjan Kumar; Dr D Nagaramani; Dr R Manasa; Dr K Sukanya; Dr D Naga Ramani
11,DISTRICT COURT,IAP-CPR-Day/Venue/AP-109,Tirupati,Andhra Pradesh,AP,Dr P Prasad Reddy
12,GIFFARD MEMORIAL HOSPITAL,IAP-CPR-Day/Venue/AP-110,Tirupati,Andhra Pradesh,AP,Dr V Padmaja Rani; Dr Y Pradeep; Dr Ch Maruthi Aruna
13,GOVERNMENT MATERNITY HOSPITAL,IAP-CPR-Day/Venue/AP-111,Tirupati,Andhra Pradesh,AP,Dr Ch Maruthi Aruna; Dr V Padmaja Rani; Dr Y Pradeep
14,MAHATHI AUDITORIUM,IAP-CPR-Day/Venue/AP-112,Tirupati,Andhra Pradesh,AP,Dr M Gee Tha
15,MATERNAL AND CHILD HEALTH HOSPITAL,IAP-CPR-Day/Venue/AP-113,Tirupati,Andhra Pradesh,AP,Dr V Padmaja Rani; Dr R S Dhanasekhar
16,"MATERNAL AND CHILD HEALTH SERVICES, THAMBUVANI GUNTA",IAP-CPR-Day/Venue/AP-114,Tirupati,Andhra Pradesh,AP,Dr V Hemavathi
17,NARAYANA ENGLISH MEDIUM HIGH SCHOOL,IAP-CPR-Day/Venue/AP-115,Tirupati,Andhra Pradesh,AP,Dr V Hemavathi
18,"S.K.R.S. ENGLISH MEDIUM HIGH SCHOOL, TTD",IAP-CPR-Day/Venue/AP-116,Tirupati,Andhra Pradesh,AP,Dr Megavath Mallikarjuna; Dr A Sailaja; Dr Sri Sindhura Yanna; Dr B Manohar
19,SPJN MUNICIPAL CORPORATION HIGH SCHOOL,IAP-CPR-Day/Venue/AP-117,Tirupati,Andhra Pradesh,AP,Dr V Hemavthi
20,SRI PADMAVATHAMMA GOVERNMENT COLLEGE OF NURSING,IAP-CPR-Day/Venue/AP-118,Tirupati,Andhra Pradesh,AP,Dr A S Kireeti; Dr V Spandana
21,SRIDEVI COMPLEX,IAP-CPR-Day/Venue/AP-119,Tirupati,Andhra Pradesh,AP,Dr A S Kireeti; Dr V Spandana; Dr R S Dhanasekhar
22,SIDDHARTHA MEDICAL COLLEGE,IAP-CPR-Day/Venue/AP-120,Vijayayawada,Andhra Pradesh,AP,Dr Songa Vinaya Kumar
