choiceIndexRank,collegeId,slug,collegeName,shortName,city,state,managementType,instituteType,primaryQuota,primaryCategory,bestAIR,medianAIR,lastObservedAIR,allotmentCount,totalMBBSSeats2026,mccR1SeatsOffered,mccR1SeatsAllotted,nirf2025Rank,nirf2025Score,nirfInstitutionName,nirfMatchStatus,rankDifference,sampleFlag
1,cmtfwo3k200n5zauplqkyg0z1,aiims-delhi,"AIIMS, New Delhi, ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029","AIIMS","","Delhi",INI,INI,"Open Seat Quota",OPEN,1,25.5,52,48,132,132,132,1,91.8,"All India Institute of Medical Sciences, Delhi",EXACT,0,NORMAL
2,cmtfwnbes00fdzaupag0542os,maulana-azad-medical-college-new-delhi,"Maulana Azad Medical College, New Delhi","","","Delhi",GOVERNMENT,CENTRAL,"All India",OPEN,60,90,129,14,250,244,243,26,59.47,"Maulana Azad Medical College",EXACT,24,NORMAL
3,cmtfwo16w00mgzaup8q8si9ou,vardhman-mahavir-medical-college-and-safdarjung-hospital-delhi,"Vardhman Mahavir Medical College & Safdarjung Hospital, Delhi","","","Delhi",GOVERNMENT,CENTRAL,"All India",OPEN,56,99.5,124,10,170,164,162,22,61.5,"Vardhman Mahavir Medical College & Safdarjung Hospital",EXACT,19,NORMAL
4,cmtfwlu7e001azaupi0bjufc5,atal-bihari-vajpayee-institute-of-medical-sciences-and-dr-rml-hospital-new-delhi,"Atal Bihari Vajpayee Institute of Medical Sciences and Dr. RML Hospital, New Delhi","","","Delhi",GOVERNMENT,CENTRAL,"All India",OPEN,133,160,166,7,100,100,99,,,"",UNRESOLVED,,SMALL_SAMPLE
5,cmtfwo4s500ngzaup146e2eug,jipmer-puducherry,"JIPMER PUDUCHERRY, Dhanvantari Nagar Gorimedu Puducherry","JIPMER PUDUCHERRY","","Puducherry",INI,INI,"Open Seat Quota",OPEN,12,178,309,51,182,182,178,4,73.3,"Jawaharlal Institute of Post Graduate Medical Education & Research",VERIFIED_ALIAS,-1,NORMAL
6,cmtfwo10300mezauppvvbzu7b,university-college-of-medical-sciences-and-gtb-hospital-new-delhi,"University College of Medical Sciences & GTB Hospital, New Delhi","","","Delhi",GOVERNMENT,CENTRAL,"All India",OPEN,196,247,435,8,170,170,167,38,54.21,"University College of Medical Sciences",VERIFIED_ALIAS,32,SMALL_SAMPLE
7,cmtfwo4yo00nizaup6xcxm4sc,aiims-rajasthan,"AIIMS, Jodhpur, BASNI PHASE - II, JODHPUR-342005","AIIMS","","Rajasthan",INI,INI,"Open Seat Quota",OPEN,53,248,344,58,150,150,150,19,63.18,"All India Institute of Medical Sciences Jodhpur",VERIFIED_ALIAS,12,NORMAL
8,cmtfwo5f100nnzaup25wv9oku,aiims-uttarakhand,"AIIMS, Rishikesh , ALL INDIA INSTITUTE OF MEDICAL SCIENCES, RISHIKESH Uttarakhand - 249203","AIIMS","","Uttarakhand",INI,INI,"Open Seat Quota",OPEN,63,401,537,49,125,125,125,13,65.02,"All India Institute of Medical Sciences Rishikesh",VERIFIED_ALIAS,5,NORMAL
9,cmtfwo4fb00nczaupdc9dtfsn,aiims-bhopal,"AIIMS-Bhopal,, SAKET NAGAR BHOPAL","AIIMS-Bhopal","","Madhya Pradesh",INI,INI,"Open Seat Quota",OPEN,90,451,571,49,125,125,125,25,60.15,"All India Institute of Medical Sciences Bhopal",VERIFIED_ALIAS,16,NORMAL
10,cmtfwo4lp00nezauptxv2n4cp,aiims-odisha,"AIIMS, Bhubaneswar, AT - Sijua, POST - DUMUDUMA, BHUBANESWAR-751019","AIIMS","","Odisha",INI,INI,"Open Seat Quota",OPEN,80,462,664,49,125,125,125,14,64.31,"All India Institute of Medical Sciences Bhubaneswar",VERIFIED_ALIAS,4,NORMAL
