SNo,AIR,QuotaRaw,Institute,AllottedCategory,CandidateCategory
1,1,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
2,2,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
3,3,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
4,4,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
5,5,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,OBC
6,6,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,OBC
7,7,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
8,8,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
9,9,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,OBC
10,10,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
11,11,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,OBC
12,12,Open Seat Quota,"JIPMER PUDUCHERRY,Dhanvantari Nagar Gorimedu Puducherry",Open,General
13,13,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
14,14,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
15,15,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
16,16,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
17,17,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
18,18,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
19,19,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,OBC
20,20,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
21,21,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,OBC
22,22,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
23,23,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
24,24,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
25,25,Open Seat Quota,"AIIMS, New Delhi,ANSARI NAGAR EAST, AUROBINDO MARG, NEW DELHI 110029",Open,General
