State,InstituteType,MCCCode,Institute,Quota,CategoryCode,Seats,SeatGender
Andaman And Nicobar Islands,All India except Central University,200101,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104",All India,BC NO,5,Both
Andaman And Nicobar Islands,All India except Central University,200101,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104",All India,EW NO,2,Both
Andaman And Nicobar Islands,All India except Central University,200101,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104",All India,OP NO,6,Both
Andaman And Nicobar Islands,All India except Central University,200101,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104",All India,SC NO,3,Both
Andaman And Nicobar Islands,All India except Central University,200101,"Andaman & Nicobar Islands Institute of Medical Sciences, Port Blair, Director ANIIMS, DHS Annexe Building, Atlanta Point, Port Blair-744104",All India,ST NO,1,Both
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,BC NO,7,Both
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,BC PH,1,Both
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,EW NO,3,Both
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,OP NO,11,Both
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,OP PH,1,Both
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,SC NO,4,Both
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,ST NO,3,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,BC NO,32,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,BC PH,2,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,EW NO,12,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,OP NO,48,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,OP PH,3,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,SC NO,18,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,SC PH,1,Both
Andhra Pradesh,All India Institute Of Medical Science(AIIMS),200510,"AIIMS Mangalagiri , ALL INDIA INSTITUTE OF MEDICAL SCIENCES NEAR TADEPALLI MANGALAGIRI GUNTUR (Dt) ANDHRA PRADESH",Open Seat Quota,ST NO,9,Both
Andhra Pradesh,All India except Central University,200421,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM",All India,BC NO,10,Both
Andhra Pradesh,All India except Central University,200421,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM",All India,EW NO,3,Both
Andhra Pradesh,All India except Central University,200421,"Andhra Medical College, Visakhapatnam, MAHARANI PETA NEAR COLLECTORATE KGH CAMPUS VISAKHAPATNAM",All India,OP NO,16,Both
