State,InstituteType,MCCCode,MCCInstitute,Quota,SeatCategory,SeatsOfferedR1,SeatsAllottedR1,NetDifference,FillRate,BestAIR,Q1AIR,MedianAIR,Q3AIR,HighestAIR
Tamil Nadu,Deemed University,200383,"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77",NRI,Open,38,0,38,0.0,,,,,
Tamil Nadu,Deemed University,200383,"ACS Medical College and Hospital, Chennai, Periyar EVR High Raod, Velappanchavadi, Chennai-77",Self-Financed Merit,Open,212,212,0,1.0,170558,673998.75,781850.5,862989.5,927573
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,EWS,3,3,0,1.0,18469,19156.5,19844.0,19888.0,19932
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,OBC,7,7,0,1.0,14607,14886.5,14908.0,15189.5,15293
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,OBC PwD,1,1,0,1.0,464487,464487.0,464487.0,464487.0,464487
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,Open,11,11,0,1.0,9746,11569.5,12609.0,13391.0,14322
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,Open PwD,1,1,0,1.0,402829,402829.0,402829.0,402829.0,402829
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,SC,4,4,0,1.0,52073,55080.5,57613.5,59229.0,59484
Andhra Pradesh,All India except Central University,200446,"ACSR Government Medical College, OPP. TO AC SUBBA REDDY STADIUM DARGAMITTA NELLORE SPSR NELLORE DISTRICT, ANDHRA PRADESH",All India,ST,3,3,0,1.0,101685,103007.0,104329.0,104582.0,104835
Punjab,All India Institute Of Medical Science(AIIMS),200511,"AIIMS Bathinda , Jodhpur Romana near Giani Zail Singh College Mandi Dabwali Road Bathinda",Open Seat Quota,EWS,12,12,0,1.0,1963,2217.25,2545.5,2723.25,2910
