nirfInstitutionId,nirfInstitutionName,city,state,nirf2025Score,nirf2025Rank,sourceAuthority,sourceYear,sourceCategory,sourceURL
IR-D-N-15,"All India Institute of Medical Sciences, Delhi","New Delhi","Delhi",91.8,1,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0079,"Post Graduate Institute of Medical Education and Research","Chandigarh","Chandigarh",82.58,2,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-45654,"Christian Medical College","Vellore","Tamil Nadu",76.48,3,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0368,"Jawaharlal Institute of Post Graduate Medical Education & Research","Puducherry","Pondicherry",73.3,4,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-N-33,"Sanjay Gandhi Postgraduate Institute of Medical Sciences","Lucknow","Uttar Pradesh",70.09,5,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0500,"Banaras Hindu University","Varanasi","Uttar Pradesh",70.05,6,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0236,"National Institute of Mental Health & Neuro Sciences, Bangalore","Bengaluru","Karnataka",69.77,7,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0523,"King George`s Medical University","Lucknow","Uttar Pradesh",68.77,8,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0436,"Amrita Vishwa Vidyapeetham","Coimbatore","Tamil Nadu",68.52,9,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-7242,"Kasturba Medical College, Manipal","Manipal","Karnataka",68.05,10,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-I-1441,"Saveetha Institute of Medical and Technical Sciences","Chennai","Tamil Nadu",66.5,11,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-I-1110,"Dr. D. Y. Patil Vidyapeeth","Pune","Maharashtra",65.17,12,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0691,"All India Institute of Medical Sciences Rishikesh","Rishikesh","Uttarakhand",65.02,13,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0688,"All India Institute of Medical Sciences Bhubaneswar","Khordha","Odisha",64.31,14,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0363,"Siksha `O` Anusandhan","Bhubaneswar","Odisha",63.73,15,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-49008,"Madras Medical College & Government General Hospital, Chennai","Chennai","Tamil Nadu",63.71,16,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0266,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram","Thiruvananthapuram","Kerala",63.36,17,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0473,"S.R.M. Institute of Science and Technology","Chennai","Tamil Nadu",63.22,18,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0689,"All India Institute of Medical Sciences Jodhpur","Jodhpur","Rajasthan",63.18,19,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0295,"Datta Meghe Institute of Higher Education and Research","Wardha","Maharashtra",62.37,20,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-I-1486,"Sri Ramachandra Institute of Higher Education and Research","Chennai","Tamil Nadu",61.54,21,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-32922,"Vardhman Mahavir Medical College & Safdarjung Hospital","New Delhi","Delhi",61.5,22,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-16428,"Institute of Post Graduate Medical Education & Research","Kolkata","West Bengal",61.07,23,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0356,"Kalinga Institute of Industrial Technology","Bhubaneswar","Odisha",61,24,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0687,"All India Institute of Medical Sciences Bhopal","Bhopal","Madhya Pradesh",60.15,25,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-6414,"Maulana Azad Medical College","Delhi","Delhi",59.47,26,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0686,"All India Institute of Medical Sciences Patna","Patna","Bihar",59.24,27,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0106,"Institute of Liver and Biliary Sciences","New Delhi","Delhi",59.22,28,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0496,"Aligarh Muslim University","Aligarh","Uttar Pradesh",58.82,29,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-40453,"St. John's Medical College","Bengaluru","Karnataka",58.74,30,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0690,"All India Institute of Medical Sciences Raipur","Raipur","Chhattisgarh",58.44,31,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-22461,"Lady Hardinge Medical College","New Delhi","Delhi",57.98,32,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0168,"Maharishi Markandeshwar","Ambala","Haryana",56.68,33,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-29442,"Govt. Medical College & Hospital","Chandigarh","Chandigarh",56.67,34,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-7251,"Kasturba Medical College, Mangalore","Mangaluru","Karnataka",56.45,35,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-29255,"Dayanand Medical College","Ludhiana","Punjab",55.65,36,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-35009,"JSS Medical College, Mysore","Mysuru","Karnataka",55.51,37,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-I-1409,"University College of Medical Sciences","Delhi","Delhi",54.21,38,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-N-17,"Sawai Man Singh Medical College","Jaipur","Rajasthan",52.69,39,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-U-0107,"Jamia Hamdard","New Delhi","Delhi",52.57,40,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-16424,"Medical College","Kolkata","West Bengal",52.54,41,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-47762,"Mahatma Gandhi Medical College and Research Institute","Puducherry","Pondicherry",52.42,42,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
IR-D-C-45515,"PSG Institute of Medical Sciences and Research","Coimbatore","Tamil Nadu",52.41,43,NIRF,2025,Medical,"https://www.nirfindia.org/Rankings/2025/MedicalRanking.html"
